Date,Brand,Media,Investment,NumVisits,NumUniqueVisits,GrossSalesEstimate,GrossSalesPlaced,GrossSalesApproved,QtyOrdersPlaced,QtyOrdersApproved
2016-03-05 00:00:00,1,8,0.0,0,0,56764444.88,90061102.56,56764444.88,216568,140008
2016-03-06 00:00:00,1,8,0.0,56,0,54387747.92,84176363.04,54387747.92,202576,132880
2016-03-03 00:00:00,1,8,0.0,294,0,49453574.72,81002005.04,49453574.72,206888,127248
2016-03-24 00:00:00,1,8,0.0,42,0,57011276.96,96966109.68,57011276.96,254760,150304
2016-03-23 00:00:00,1,8,0.0,686,70,57561304.24,92812265.92,57561304.24,251944,158752
2016-03-22 00:00:00,1,8,0.0,532,0,54160604.96,89413920.64,54160604.96,256960,160160
2016-03-16 00:00:00,1,8,0.0,854,14,62013120.4,104053648.16,62013120.4,269720,172216
2016-03-20 00:00:00,1,8,0.0,70,0,55039189.04,88294616.08,55039189.04,230648,140888
2016-03-31 00:00:00,1,8,0.0,1596,14,77053099.2,123312495.68,77053099.2,274472,175912
2016-04-30 00:00:00,1,8,0.0,84,0,83315793.44,131013871.12,83315793.44,287408,188760
2016-04-29 00:00:00,1,8,0.0,630,28,81564202.72,127730042.88,81564202.72,285032,183832
2016-04-28 00:00:00,1,8,0.0,1190,0,77702609.6,118033869.36,77702609.6,274208,182248
2016-04-25 00:00:00,1,8,0.0,560,14,59126364.0,93734629.12,59126364.0,237336,159896
2016-04-27 00:00:00,1,8,0.0,910,42,79609706.88,124270958.24,79609706.88,333432,222992
2016-04-23 00:00:00,1,8,0.0,266,14,61926997.44,100609809.52,61926997.44,227040,149336
2016-04-22 00:00:00,1,8,0.0,1778,56,71369034.0,116326309.44,71369034.0,290928,189376
2016-04-20 00:00:00,1,8,0.0,1456,126,77370052.32,123941092.0,77370052.32,350416,238568
2016-04-19 00:00:00,1,8,0.0,1386,0,90845685.04,138815393.2,90845685.04,413336,280456
2016-04-18 00:00:00,1,8,0.0,546,0,64121592.48,101614645.44,64121592.48,288816,189024
2016-04-17 00:00:00,1,8,0.0,98,0,61990859.92,99695697.2,61990859.92,274560,175824
2016-04-12 00:00:00,1,8,0.0,1778,14,83638392.64,136161072.96,83638392.64,339240,222112
2016-04-10 00:00:00,1,8,0.0,490,0,64509479.76,100644280.88,64509479.76,270160,177056
2016-04-09 00:00:00,1,8,0.0,392,0,57072805.68,90761811.36,57072805.68,282744,179696
2016-04-07 00:00:00,1,8,0.0,728,42,62257494.64,100134756.48,62257494.64,234080,150304
2016-04-08 00:00:00,1,8,0.0,658,42,56849933.36,96123062.64,56849933.36,269984,168080
2016-04-06 00:00:00,1,8,0.0,966,0,61299348.88,97969534.08,61299348.88,257576,163856
2016-04-05 00:00:00,1,8,0.0,546,14,62614075.04,104031369.2,62614075.04,265496,169488
2016-04-02 00:00:00,1,8,0.0,840,0,48007941.52,75743250.88,48007941.52,215688,143440
2016-04-03 00:00:00,1,8,0.0,168,14,48868692.4,76211050.08,48868692.4,216480,144408
2016-04-11 00:00:00,1,8,0.0,700,42,68899580.64,106988253.68,68899580.64,277464,176352
2016-04-14 00:00:00,1,8,0.0,700,0,90494523.68,139971143.84,90494523.68,329560,212696
2016-04-13 00:00:00,1,8,0.0,1218,28,74304634.8,118193672.96,74304634.8,335016,218680
2016-04-16 00:00:00,1,8,0.0,56,28,63553851.68,101311178.32,63553851.68,300960,186208
2016-04-24 00:00:00,1,8,0.0,56,0,63395996.4,97280681.52,63395996.4,241736,165880
2016-04-26 00:00:00,1,8,0.0,1008,0,77896896.0,121559115.92,77896896.0,302016,205040
2016-04-01 00:00:00,1,8,0.0,812,14,46489109.92,74279262.64,46489109.92,220528,136224
2016-04-04 00:00:00,1,8,0.0,756,70,55069920.4,91275032.64,55069920.4,208472,131120
2016-04-15 00:00:00,1,8,0.0,812,0,61238713.36,106945590.4,61238713.36,274912,158752
2016-04-21 00:00:00,1,8,0.0,210,14,84053568.72,127369223.52,84053568.72,375936,254144
2016-07-31 00:00:00,1,8,0.0,0,0,69582656.0,104957557.76,69582656.0,273240,186560
2016-07-28 00:00:00,1,8,0.0,14,0,83505825.04,129104870.4,83505825.04,357720,238832
2016-07-27 00:00:00,1,8,0.0,0,0,102466358.72,168431629.52,102466358.72,392128,258808
2016-07-02 00:00:00,1,8,0.0,28,0,57727164.0,86411835.84,57727164.0,187264,126368
2016-07-07 00:00:00,1,8,0.0,28,0,59589507.12,98019624.56,59589507.12,224224,143968
2016-07-11 00:00:00,1,8,0.0,0,0,61248912.56,92346815.44,61248912.56,203016,141064
2016-07-05 00:00:00,1,8,0.0,0,0,59636014.24,101162569.2,59636014.24,236808,159808
2016-07-15 00:00:00,1,8,0.0,0,0,93771032.08,139741923.2,93771032.08,455312,315920
2016-07-12 00:00:00,1,8,0.0,0,0,84119748.24,129599000.96,84119748.24,370656,247104
2016-07-30 00:00:00,1,8,0.0,14,0,69195159.44,102141312.24,69195159.44,263560,182688
2016-07-13 00:00:00,1,8,0.0,0,0,140151456.72,195083974.8,140151456.72,696872,493064
2016-07-14 00:00:00,1,8,0.0,0,0,134457792.48,193380746.24,134457792.48,693264,481800
2016-07-29 00:00:00,1,8,0.0,0,0,63679355.52,99855763.92,63679355.52,260392,175032
2016-07-16 00:00:00,1,8,0.0,0,0,99914960.64,136130918.0,99914960.64,519376,374000
2016-07-03 00:00:00,1,8,0.0,0,0,53479652.16,83439425.52,53479652.16,176088,123552
2016-07-08 00:00:00,1,8,0.0,0,0,59778122.8,93089619.92,59778122.8,216128,143616
2016-07-01 00:00:00,1,8,0.0,0,0,56378334.32,89046610.4,56378334.32,199760,135168
2016-07-09 00:00:00,1,8,0.0,0,0,63947823.28,101286552.4,63947823.28,238744,163856
2016-07-10 00:00:00,1,8,0.0,0,0,55913309.76,85730351.52,55913309.76,195448,134728
2016-07-06 00:00:00,1,8,0.0,0,0,68279848.56,109817869.92,68279848.56,261712,173272
2016-07-04 00:00:00,1,8,0.0,0,0,54460421.84,83210991.6,54460421.84,178200,123288
2016-07-25 00:00:00,1,8,0.0,0,0,68773672.88,102379322.32,68773672.88,283712,194656
2016-07-23 00:00:00,1,8,0.0,0,0,73380724.56,117414369.6,73380724.56,294536,195800
2016-07-21 00:00:00,1,8,0.0,0,0,68226735.28,107264021.04,68226735.28,311256,209880
2016-07-22 00:00:00,1,8,0.0,0,0,62468772.96,96294884.4,62468772.96,265408,174416
2016-07-24 00:00:00,1,8,0.0,0,0,76164524.48,111785108.16,76164524.48,268752,184800
2016-07-17 00:00:00,1,8,0.0,0,0,86028602.0,121838361.92,86028602.0,397496,290664
2016-07-26 00:00:00,1,8,0.0,0,0,80415452.48,121783975.28,80415452.48,300608,201256
2016-07-20 00:00:00,1,8,0.0,0,0,71995688.16,110942024.16,71995688.16,295944,196240
2016-07-19 00:00:00,1,8,0.0,0,0,77239624.88,121743548.08,77239624.88,316976,209088
2016-07-18 00:00:00,1,8,0.0,0,0,76544624.64,112996761.68,76544624.64,271040,187264
2016-09-12 00:00:00,1,8,0.0,0,0,76959670.48,116936185.52,76959670.48,313192,212256
2016-09-08 00:00:00,1,8,0.0,0,0,76312992.8,117372449.04,76312992.8,299728,202840
2016-09-06 00:00:00,1,8,0.0,0,0,76225182.88,119100318.48,76225182.88,360096,238216
2016-09-07 00:00:00,1,8,0.0,0,0,91333929.28,130327642.72,91333929.28,417560,291016
2016-09-09 00:00:00,1,8,0.0,0,0,71461782.48,109408051.28,71461782.48,303248,206272
2016-09-03 00:00:00,1,8,0.0,0,0,83739179.92,128595566.0,83739179.92,351208,239536
2016-09-10 00:00:00,1,8,0.0,0,0,71723172.4,108405788.48,71723172.4,285736,198176
2016-09-11 00:00:00,1,8,0.0,0,0,61080748.08,95042801.92,61080748.08,225720,153208
2016-09-05 00:00:00,1,8,0.0,0,0,75658934.56,114425150.4,75658934.56,309144,207328
2016-09-04 00:00:00,1,8,0.0,0,0,85346370.56,126630819.92,85346370.56,309320,219208
2016-09-01 00:00:00,1,8,0.0,0,0,74000153.04,117958902.16,74000153.04,255288,167992
2016-09-02 00:00:00,1,8,0.0,0,0,71637749.04,117360246.08,71637749.04,283536,184008
2016-09-26 00:00:00,1,8,0.0,0,0,89728249.6,136661894.16,89728249.6,352176,240328
2016-09-27 00:00:00,1,8,0.0,0,0,86218408.32,132766594.4,86218408.32,338536,229680
2016-09-19 00:00:00,1,8,0.0,0,0,75996161.12,118327506.0,75996161.12,279312,187264
2016-09-23 00:00:00,1,8,0.0,0,0,82997550.24,129583986.4,82997550.24,362208,243672
2016-09-24 00:00:00,1,8,0.0,0,0,112680146.48,165175470.24,112680146.48,387464,266376
2016-09-21 00:00:00,1,8,0.0,0,0,104650264.4,156646433.68,104650264.4,345048,239536
2016-09-25 00:00:00,1,8,0.0,0,0,119696036.24,180162356.0,119696036.24,348656,241648
2016-09-13 00:00:00,1,8,0.0,0,0,103608665.6,143449464.4,103608665.6,467192,343552
2016-09-30 00:00:00,1,8,0.0,0,0,67788883.36,101645026.56,67788883.36,300872,204424
2016-09-20 00:00:00,1,8,0.0,0,0,94541138.56,144306411.04,94541138.56,353232,236984
2016-09-22 00:00:00,1,8,0.0,0,0,77215961.68,117033470.4,77215961.68,294272,201696
2016-09-18 00:00:00,1,8,0.0,0,0,77188369.28,111563633.28,77188369.28,342936,248952
2016-09-17 00:00:00,1,8,0.0,0,0,84734877.04,124900385.28,84734877.04,374616,270600
2016-09-16 00:00:00,1,8,0.0,0,0,82108074.4,117330218.72,82108074.4,338800,241032
2016-09-29 00:00:00,1,8,0.0,0,0,76596710.08,115625663.12,76596710.08,329384,223432
2016-09-28 00:00:00,1,8,0.0,0,0,79342280.16,120674866.4,79342280.16,353936,236984
2016-09-14 00:00:00,1,8,0.0,0,0,124472575.92,171564643.36,124472575.92,546480,402072
2016-09-15 00:00:00,1,8,0.0,0,0,103614562.48,140101376.8,103614562.48,455840,342320
2015-07-12 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-11 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-14 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-13 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-27 00:00:00,2,8,0.0,14,0,0.0,0.0,0.0,0,0
2015-07-18 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-25 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-17 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-16 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-19 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-24 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-21 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-31 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-26 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-23 00:00:00,2,8,0.0,14,0,0.0,0.0,0.0,0,0
2015-07-20 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-28 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-29 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-30 00:00:00,2,8,0.0,14,0,0.0,0.0,0.0,0,0
2015-07-04 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-10 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-08 00:00:00,2,8,0.0,14,14,0.0,0.0,0.0,0,0
2015-07-05 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-07 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-09 00:00:00,2,8,0.0,14,14,0.0,0.0,0.0,0,0
2015-07-01 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-15 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-22 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-06 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-03 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-07-02 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-27 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-30 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-17 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-15 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-18 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-20 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-09 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-19 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-16 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-14 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-23 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-05 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-21 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-25 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-24 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-26 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-22 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
2015-08-03 00:00:00,2,8,0.0,0,0,0.0,0.0,0.0,0,0
